N: 33
0 0 127
1 1 7
2 2 10
3 3 3504
4 4 28
5 5 8
6 6 89
7 7 91
8 8 39
9 9 58
10 10 50
11 11 30
12 12 223
13 13 31
14 14 46
15 15 93
16 16 56
17 17 39
18 18 57
19 19 90
20 20 13
21 21 54
22 22 959
23 23 363
24 24 46
25 25 111
26 26 228
27 27 176
28 28 162
29 29 91
30 30 67
31 31 687
32 32 400
0 12 12
0 14 8
0 15 2
0 16 6
0 17 2
0 18 2
0 19 18
0 22 58
0 23 26
0 25 10
0 26 10
0 27 16
0 28 4
0 29 2
0 31 50
0 32 26
1 12 2
1 22 2
1 30 2
1 31 4
1 32 2
2 12 4
2 18 2
2 21 4
2 22 4
2 28 2
2 29 2
3 11 52
3 12 404
3 13 56
3 14 72
3 15 150
3 16 92
3 17 68
3 18 76
3 19 126
3 20 18
3 21 76
3 22 1704
3 23 638
3 24 82
3 25 184
3 26 408
3 27 294
3 28 290
3 29 154
3 30 122
3 31 1222
3 32 718
4 12 2
4 15 4
4 17 2
4 18 4
4 19 2
4 21 4
4 22 18
4 23 2
4 31 10
4 32 6
5 15 2
5 22 2
5 23 2
5 25 2
5 28 2
5 31 4
6 11 4
6 12 6
6 15 12
6 16 2
6 18 2
6 19 16
6 20 4
6 21 2
6 22 26
6 23 14
6 24 4
6 25 8
6 26 20
6 27 16
6 28 6
6 29 8
6 31 22
6 32 4
7 14 4
7 15 6
7 16 6
7 18 24
7 19 6
7 21 12
7 22 40
7 23 12
7 24 2
7 27 6
7 28 6
7 29 4
7 31 30
7 32 22
8 11 2
8 12 4
8 19 2
8 20 2
8 22 14
8 23 6
8 24 2
8 25 6
8 26 2
8 27 4
8 28 6
8 29 6
8 30 4
8 31 10
8 32 6
9 12 10
9 14 4
9 15 4
9 16 4
9 19 4
9 21 8
9 22 30
9 23 12
9 25 8
9 26 2
9 27 10
9 29 2
9 31 12
9 32 4
10 13 4
10 14 2
10 15 4
10 17 4
10 18 2
10 19 4
10 22 18
10 23 12
10 25 2
10 26 12
10 27 4
10 28 6
10 29 2
10 30 4
10 31 8
10 32 10
